Netherlands,1866,0.404
Netherlands,1867,0.154
Netherlands,1868,0.04
Netherlands,1869,0.014
Netherlands,1870,0.196
Netherlands,1871,4.355
Netherlands,1872,1.021
Netherlands,1873,0.095
Netherlands,1874,0.034
Netherlands,1875,0.05
Netherlands,1876,0.029
Netherlands,1877,0.006
Netherlands,1878,0.003
Netherlands,1879,0.002
Netherlands,1880,0.019
Netherlands,1881,0.018
Netherlands,1882,0.037
Netherlands,1883,0.161
Netherlands,1884,0.015
Netherlands,1885,0.007
Netherlands,1886,0.016
Netherlands,1887,0.004
Netherlands,1890,0.002
Netherlands,1892,0.002
Netherlands,1893,0.01
Netherlands,1894,0.041
Netherlands,1895,0.13
Netherlands,1896,0.016
Netherlands,1897,0.007
Netherlands,1899,0.001
